ICD_Start,ICD_End,Cause,Level
K44,K46.9,"Inguinal, femoral, and abdominal hernia",3
K50,K52,Inflammatory bowel disease,3
K52.8,K52.9,Inflammatory bowel disease,3
M09.1,M09.1,Inflammatory bowel disease,3
K55,K55.9,Vascular intestinal disorders,3
K80,K83.9,Gallbladder and biliary diseases,3
K85,K86.9,Pancreatitis,3
I84,I84.9,Other digestive diseases,3
K20,K20.9,Other digestive diseases,3
K22,K22.6,Other digestive diseases,3
K22.8,K24,Other digestive diseases,3
K31,K31.8,Other digestive diseases,3
K38,K38.2,Other digestive diseases,3
K52.2,K52.3,Other digestive diseases,3
K57,K62,Other digestive diseases,3
K62.2,K62.6,Other digestive diseases,3
K62.8,K62.9,Other digestive diseases,3
K64,K64.9,Other digestive diseases,3
K66.8,K66.8,Other digestive diseases,3
K67,K67,Other digestive diseases,3
K68,K68,Other digestive diseases,3
K77,K77,Other digestive diseases,3
K90,K90.9,Other digestive diseases,3
K92.8,K92.8,Other digestive diseases,3
K93.8,K93.8,Other digestive diseases,3
F00,F02.0,Neurological disorders,2
F02.2,F02.3,Neurological disorders,2
F02.8,F03.9,Neurological disorders,2
G10,G13.8,Neurological disorders,2
G20,G20.9,Neurological disorders,2
G23,G24,Neurological disorders,2
G24.1,G25.0,Neurological disorders,2
G25.2,G25.3,Neurological disorders,2
G25.5,G25.5,Neurological disorders,2
G25.8,G26.0,Neurological disorders,2
G30,G31.1,Neurological disorders,2
G31.8,G31.9,Neurological disorders,2
G35,G37.9,Neurological disorders,2
G40,G41.9,Neurological disorders,2
G61,G61.9,Neurological disorders,2
G70,G71.1,Neurological disorders,2
G71.3,G72,Neurological disorders,2
G72.2,G73.7,Neurological disorders,2
G90,G90.9,Neurological disorders,2
G95,G95.9,Neurological disorders,2
M33,M33.9,Neurological disorders,2
F00,F02.0,Alzheimer's disease and other dementias,3
F02.8,F03.9,Alzheimer's disease and other dementias,3
G30,G31.1,Alzheimer's disease and other dementias,3
G31.8,G31.9,Alzheimer's disease and other dementias,3
F02.3,F02.3,Parkinson's disease,3
G20,G20.9,Parkinson's disease,3
G40,G41.9,Idiopathic epilepsy,3
G35,G35.9,Multiple sclerosis,3
G12.2,G12.9,Motor neuron disease,3
F02.2,F02.2,Other neurological disorders,3
G10,G12.1,Other neurological disorders,3
G13,G13.8,Other neurological disorders,3
G23,G24,Other neurological disorders,3
G24.1,G25.0,Other neurological disorders,3
G25.2,G25.3,Other neurological disorders,3
G25.5,G25.5,Other neurological disorders,3
G25.8,G26.0,Other neurological disorders,3
G36,G37.9,Other neurological disorders,3
G61,G61.9,Other neurological disorders,3
G70,G71.1,Other neurological disorders,3
G71.3,G72,Other neurological disorders,3
G72.2,G73.7,Other neurological disorders,3
G90,G90.9,Other neurological disorders,3
G95,G95.9,Other neurological disorders,3
M33,M33.9,Other neurological disorders,3
F24,F24,Mental disorders,2
F50.0,F50.5,Mental disorders,2
F50.0,F50.5,Eating disorders,3
F50.0,F50.1,Anorexia nervosa,4
F50.2,F50.5,Bulimia nervosa,4
E24.4,E24.4,Substance use disorders,2
F10,F16.9,Substance use disorders,2
F18,F18.9,Substance use disorders,2
G31.2,G31.2,Substance use disorders,2
G62.1,G62.1,Substance use disorders,2
G72.1,G72.1,Substance use disorders,2
P04.3,P04.4,Substance use disorders,2
P96.1,P96.1,Substance use disorders,2
Q86.0,Q86.0,Substance use disorders,2
R78.0,R78.5,Substance use disorders,2
X45,X45.9,Substance use disorders,2
X65,X65.9,Substance use disorders,2
Y15,Y15.9,Substance use disorders,2
E24.4,E24.4,Alcohol use disorders,3
F10,F10.9,Alcohol use disorders,3
G31.2,G31.2,Alcohol use disorders,3
G62.1,G62.1,Alcohol use disorders,3
G72.1,G72.1,Alcohol use disorders,3
P04.3,P04.3,Alcohol use disorders,3
Q86.0,Q86.0,Alcohol use disorders,3
R78.0,R78.0,Alcohol use disorders,3
X45,X45.9,Alcohol use disorders,3
X65,X65.9,Alcohol use disorders,3
Y15,Y15.9,Alcohol use disorders,3
F11,F16.9,Drug use disorders,3
F18,F18.9,Drug use disorders,3
P04.4,P04.4,Drug use disorders,3
P96.1,P96.1,Drug use disorders,3
R78.1,R78.5,Drug use disorders,3
F11,F11.9,Opioid use disorders,4
P96.1,P96.1,Opioid use disorders,4
R78.1,R78.1,Opioid use disorders,4
F14,F14.9,Cocaine use disorders,4
R78.2,R78.2,Cocaine use disorders,4
F15,F15.9,Amphetamine use disorders,4
F13,F13.9,Other drug use disorders,4
F16,F16.9,Other drug use disorders,4
F18,F18.9,Other drug use disorders,4
P04.4,P04.4,Other drug use disorders,4
R78.3,R78.5,Other drug use disorders,4
D63.1,D63.1,Diabetes and kidney diseases,2
E10,E11.9,Diabetes and kidney diseases,2
I12,I13.9,Diabetes and kidney diseases,2
N00,N08.8,Diabetes and kidney diseases,2
N15.0,N15.0,Diabetes and kidney diseases,2
N18,N18.9,Diabetes and kidney diseases,2
P70.2,P70.2,Diabetes and kidney diseases,2
Q61,Q62.8,Diabetes and kidney diseases,2
E10,E10.1,Diabetes mellitus,3
E10.3,E11.1,Diabetes mellitus,3
E11.3,E11.9,Diabetes mellitus,3
P70.2,P70.2,Diabetes mellitus,3
E10,E10.1,Diabetes mellitus type 1,4
E10.3,E10.9,Diabetes mellitus type 1,4
P70.2,P70.2,Diabetes mellitus type 1,4
E11,E11.1,Diabetes mellitus type 2,4
E11.3,E11.9,Diabetes mellitus type 2,4
D63.1,D63.1,Chronic kidney disease,3
E10.2,E10.2,Chronic kidney disease,3
E11.2,E11.2,Chronic kidney disease,3
I12,I13.9,Chronic kidney disease,3
N02,N08.8,Chronic kidney disease,3
N15.0,N15.0,Chronic kidney disease,3
N18,N18.9,Chronic kidney disease,3
Q61,Q62.8,Chronic kidney disease,3
E10.2,E10.2,Chronic kidney disease due to diabetes mellitus type 1,4
E11.2,E11.2,Chronic kidney disease due to diabetes mellitus type 2,4
I12,I13.9,Chronic kidney disease due to hypertension,4
N03,N06.9,Chronic kidney disease due to glomerulonephritis,4
N02,N02.9,Chronic kidney disease due to other and unspecified causes,4
N07,N08.8,Chronic kidney disease due to other and unspecified causes,4
N15.0,N15.0,Chronic kidney disease due to other and unspecified causes,4
Q61,Q62.8,Chronic kidney disease due to other and unspecified causes,4
N00,N01.9,Acute glomerulonephritis,3
A46,A46.0,Skin and subcutaneous diseases,2
A66,A67.9,Skin and subcutaneous diseases,2
B86,B86,Skin and subcutaneous diseases,2
D86.3,D86.3,Skin and subcutaneous diseases,2
I89.1,I89.8,Skin and subcutaneous diseases,2
L00,L05.9,Skin and subcutaneous diseases,2
L08,L08.9,Skin and subcutaneous diseases,2
L10,L14.0,Skin and subcutaneous diseases,2
L51,L51.9,Skin and subcutaneous diseases,2
L88,L89.9,Skin and subcutaneous diseases,2
L97,L98.4,Skin and subcutaneous diseases,2
M72.5,M72.6,Skin and subcutaneous diseases,2
A46,A46.0,Bacterial skin diseases,3
A66,A67.9,Bacterial skin diseases,3
I89.1,I89.8,Bacterial skin diseases,3
L00,L05.9,Bacterial skin diseases,3
L08,L08.9,Bacterial skin diseases,3
L88,L88,Bacterial skin diseases,3
L97,L98.4,Bacterial skin diseases,3
M72.5,M72.6,Bacterial skin diseases,3
L03,L03.9,Cellulitis,4
M72.5,M72.6,Cellulitis,4
A46,A46.0,Pyoderma,4
A66,A67.9,Pyoderma,4
I89.1,I89.8,Pyoderma,4
L00,L02.9,Pyoderma,4
L04,L05.9,Pyoderma,4
L08,L08.9,Pyoderma,4
L88,L88,Pyoderma,4
L97,L98.4,Pyoderma,4
L89,L89.9,Decubitus ulcer,3
D86.3,D86.3,Other skin and subcutaneous diseases,3
L10,L14.0,Other skin and subcutaneous diseases,3
L51,L51.9,Other skin and subcutaneous diseases,3
I27.1,I27.1,Musculoskeletal disorders,2
I67.7,I67.7,Musculoskeletal disorders,2
L93,L93.2,Musculoskeletal disorders,2
M00,M03.0,Musculoskeletal disorders,2
M03.2,M03.6,Musculoskeletal disorders,2
M05,M09.0,Musculoskeletal disorders,2
M09.2,M09.8,Musculoskeletal disorders,2
M30,M32.9,Musculoskeletal disorders,2
M34,M36.8,Musculoskeletal disorders,2
M40,M43.1,Musculoskeletal disorders,2
M65,M65.0,Musculoskeletal disorders,2
M71.0,M71.1,Musculoskeletal disorders,2
M80,M82.8,Musculoskeletal disorders,2
M86.3,M86.4,Musculoskeletal disorders,2
M87,M87.0,Musculoskeletal disorders,2
M88,M89.0,Musculoskeletal disorders,2
M89.5,M89.5,Musculoskeletal disorders,2
M89.7,M89.9,Musculoskeletal disorders,2
M05,M06.9,Rheumatoid arthritis,3
M08.0,M08.8,Rheumatoid arthritis,3
I27.1,I27.1,Other musculoskeletal disorders,3
I67.7,I67.7,Other musculoskeletal disorders,3
L93,L93.2,Other musculoskeletal disorders,3
M00,M03.0,Other musculoskeletal disorders,3
M03.2,M03.6,Other musculoskeletal disorders,3
M07,M08,Other musculoskeletal disorders,3
M08.9,M09.0,Other musculoskeletal disorders,3
M09.2,M09.8,Other musculoskeletal disorders,3
M30,M32.9,Other musculoskeletal disorders,3
M34,M36.8,Other musculoskeletal disorders,3
M40,M43.1,Other musculoskeletal disorders,3
M65,M65.0,Other musculoskeletal disorders,3
M71.0,M71.1,Other musculoskeletal disorders,3
M80,M82.8,Other musculoskeletal disorders,3
M86.3,M86.4,Other musculoskeletal disorders,3
M87,M87.0,Other musculoskeletal disorders,3
M88,M89.0,Other musculoskeletal disorders,3
M89.5,M89.5,Other musculoskeletal disorders,3
M89.7,M89.9,Other musculoskeletal disorders,3
D25,D26,Other non-communicable diseases,2
D28.2,D28.2,Other non-communicable diseases,2
D52.1,D52.1,Other non-communicable diseases,2
D55,D58.9,Other non-communicable diseases,2
D59.0,D59.3,Other non-communicable diseases,2
D59.5,D59.6,Other non-communicable diseases,2
D60,D61.9,Other non-communicable diseases,2
D64.0,D64.0,Other non-communicable diseases,2
D66,D67,Other non-communicable diseases,2
D68.0,D69.8,Other non-communicable diseases,2
D70,D70.2,Other non-communicable diseases,2
D70.4,D75.8,Other non-communicable diseases,2
D76,D78.8,Other non-communicable diseases,2
D86.8,D86.8,Other non-communicable diseases,2
D89,D89.2,Other non-communicable diseases,2
E03,E07.1,Other non-communicable diseases,2
E09,E09.9,Other non-communicable diseases,2
E15.0,E15.0,Other non-communicable diseases,2
E16.0,E16.9,Other non-communicable diseases,2
E20,E24.3,Other non-communicable diseases,2
E24.8,E34,Other non-communicable diseases,2
E34.1,E34.8,Other non-communicable diseases,2
E36,E36.8,Other non-communicable diseases,2
E65,E68,Other non-communicable diseases,2
E70,E85.2,Other non-communicable diseases,2
E88,E89.9,Other non-communicable diseases,2
G21.0,G21.1,Other non-communicable diseases,2
G24.0,G24.0,Other non-communicable diseases,2
G25.1,G25.1,Other non-communicable diseases,2
G25.4,G25.4,Other non-communicable diseases,2
G25.6,G25.7,Other non-communicable diseases,2
G71.2,G71.2,Other non-communicable diseases,2
G72.0,G72.0,Other non-communicable diseases,2
G93.7,G93.7,Other non-communicable diseases,2
G97,G97.9,Other non-communicable diseases,2
I95.2,I95.3,Other non-communicable diseases,2
I97,I97.9,Other non-communicable diseases,2
I98.9,I98.9,Other non-communicable diseases,2
J70.0,J70.5,Other non-communicable diseases,2
J95,J95.9,Other non-communicable diseases,2
K43,K43.9,Other non-communicable diseases,2
K52.0,K52.0,Other non-communicable diseases,2
K62.7,K62.7,Other non-communicable diseases,2
K91,K91.9,Other non-communicable diseases,2
K94,K95.8,Other non-communicable diseases,2
M87.1,M87.1,Other non-communicable diseases,2
N10,N12.9,Other non-communicable diseases,2
N13.6,N13.6,Other non-communicable diseases,2
N14,N15,Other non-communicable diseases,2
N15.1,N16.8,Other non-communicable diseases,2
N20,N23.0,Other non-communicable diseases,2
N25,N28.1,Other non-communicable diseases,2
N29,N30.3,Other non-communicable diseases,2
N30.8,N32.0,Other non-communicable diseases,2
N32.3,N32.4,Other non-communicable diseases,2
N34,N34.3,Other non-communicable diseases,2
N36,N36.9,Other non-communicable diseases,2
N39,N39.2,Other non-communicable diseases,2
N41,N41.9,Other non-communicable diseases,2
N44,N44.0,Other non-communicable diseases,2
N45,N45.9,Other non-communicable diseases,2
N49,N49.9,Other non-communicable diseases,2
N65,N65.1,Other non-communicable diseases,2
N72,N72.0,Other non-communicable diseases,2
N75,N77.8,Other non-communicable diseases,2
N80,N81.9,Other non-communicable diseases,2
N83,N83.9,Other non-communicable diseases,2
N99,N99.9,Other non-communicable diseases,2
P96.0,P96.0,Other non-communicable diseases,2
P96.2,P96.2,Other non-communicable diseases,2
P96.5,P96.5,Other non-communicable diseases,2
Q00,Q07.9,Other non-communicable diseases,2
Q10.4,Q18.9,Other non-communicable diseases,2
Q20,Q28.9,Other non-communicable diseases,2
Q30,Q36,Other non-communicable diseases,2
Q37,Q45.9,Other non-communicable diseases,2
Q50,Q60.6,Other non-communicable diseases,2
Q63,Q86,Other non-communicable diseases,2
Q86.1,Q87.8,Other non-communicable diseases,2
Q89,Q89.8,Other non-communicable diseases,2
Q90,Q93.9,Other non-communicable diseases,2
Q95,Q99.8,Other non-communicable diseases,2
R50.2,R50.2,Other non-communicable diseases,2
R95,R95.9,Other non-communicable diseases,2
G71.2,G71.2,Congenital birth defects,3
P96.0,P96.0,Congenital birth defects,3
Q00,Q07.9,Congenital birth defects,3
Q10.4,Q18.9,Congenital birth defects,3
Q20,Q28.9,Congenital birth defects,3
Q30,Q36,Congenital birth defects,3
Q37,Q45.9,Congenital birth defects,3
Q50,Q60.6,Congenital birth defects,3
Q63,Q86,Congenital birth defects,3
Q86.1,Q87.8,Congenital birth defects,3
Q89,Q89.8,Congenital birth defects,3
Q90,Q93.9,Congenital birth defects,3
Q95,Q99.8,Congenital birth defects,3
Q00,Q01.9,Neural tube defects,4
Q05,Q05.9,Neural tube defects,4
Q20,Q28.9,Congenital heart anomalies,4
Q35,Q36,Orofacial clefts,4
Q37,Q37.9,Orofacial clefts,4
Q90,Q90.9,Down syndrome,4
Q87,Q87.8,Other chromosomal abnormalities,4
Q91,Q93.9,Other chromosomal abnormalities,4
Q95,Q95.9,Other chromosomal abnormalities,4
Q97,Q97.9,Other chromosomal abnormalities,4
Q99,Q99.8,Other chromosomal abnormalities,4
Q65,Q79,Congenital musculoskeletal and limb anomalies,4
Q79.6,Q79.9,Congenital musculoskeletal and limb anomalies,4
P96.0,P96.0,Urogenital congenital anomalies,4
Q50,Q60.6,Urogenital congenital anomalies,4
Q63,Q64.9,Urogenital congenital anomalies,4
Q38,Q45.9,Digestive congenital anomalies,4
Q79.0,Q79.5,Digestive congenital anomalies,4
G71.2,G71.2,Other congenital birth defects,4
Q02,Q04.9,Other congenital birth defects,4
Q06,Q07.9,Other congenital birth defects,4
Q10.4,Q18.9,Other congenital birth defects,4
Q30,Q34.9,Other congenital birth defects,4
Q80,Q86,Other congenital birth defects,4
Q86.1,Q86.8,Other congenital birth defects,4
Q89,Q89.8,Other congenital birth defects,4
N10,N12.9,Urinary diseases and male infertility,3
N13.6,N13.6,Urinary diseases and male infertility,3
N15,N15,Urinary diseases and male infertility,3
N15.1,N16.8,Urinary diseases and male infertility,3
N20,N23.0,Urinary diseases and male infertility,3
N25,N28.1,Urinary diseases and male infertility,3
N29,N30.3,Urinary diseases and male infertility,3
N30.8,N32.0,Urinary diseases and male infertility,3
N32.3,N32.4,Urinary diseases and male infertility,3
N34,N34.3,Urinary diseases and male infertility,3
N36,N36.9,Urinary diseases and male infertility,3
N39,N39.2,Urinary diseases and male infertility,3
N41,N41.9,Urinary diseases and male infertility,3
N44,N44.0,Urinary diseases and male infertility,3
N45,N45.9,Urinary diseases and male infertility,3
N49,N49.9,Urinary diseases and male infertility,3
N10,N12.9,Urinary tract infection and interstitial nephritis,4
N13.6,N13.6,Urinary tract infection and interstitial nephritis,4
N15,N15,Urinary tract infection and interstitial nephritis,4
N15.1,N16.8,Urinary tract infection and interstitial nephritis,4
N30,N30.3,Urinary tract infection and interstitial nephritis,4
N30.8,N30.9,Urinary tract infection and interstitial nephritis,4
N34,N34.3,Urinary tract infection and interstitial nephritis,4
N39.0,N39.2,Urinary tract infection and interstitial nephritis,4
N20,N23.0,Urolithiasis,4
N25,N28.1,Other urinary diseases,4
N29,N29.8,Other urinary diseases,4
N31,N32.0,Other urinary diseases,4
N32.3,N32.4,Other urinary diseases,4
N36,N36.9,Other urinary diseases,4
N39,N39,Other urinary diseases,4
N41,N41.9,Other urinary diseases,4
N44,N44.0,Other urinary diseases,4
N45,N45.9,Other urinary diseases,4
N49,N49.9,Other urinary diseases,4
D25,D26,Gynaecological diseases,3
D28.2,D28.2,Gynaecological diseases,3
E28.2,E28.2,Gynaecological diseases,3
N72,N72.0,Gynaecological diseases,3
N75,N77.8,Gynaecological diseases,3
N80,N81.9,Gynaecological diseases,3
N83,N83.9,Gynaecological diseases,3
D25,D26,Uterine fibroids,4
D28.2,D28.2,Uterine fibroids,4
N80,N80.9,Endometriosis,4
N81,N81.9,Genital prolapse,4
N72,N72.0,Other gynaecological diseases,4
N75,N77.8,Other gynaecological diseases,4
N83,N83.9,Other gynaecological diseases,4
D55,D58.9,Haemoglobinopathies and haemolytic anaemias,3
D59.1,D59.1,Haemoglobinopathies and haemolytic anaemias,3
D59.3,D59.3,Haemoglobinopathies and haemolytic anaemias,3
D59.5,D59.5,Haemoglobinopathies and haemolytic anaemias,3
D60,D61.9,Haemoglobinopathies and haemolytic anaemias,3
D64.0,D64.0,Haemoglobinopathies and haemolytic anaemias,3
D56,D56.9,Thalassaemias,4
D57,D57.8,Sickle cell disorders,4
D55,D55.2,G6PD deficiency,4
D55.3,D55.9,Other haemoglobinopathies and haemolytic anaemias,4
D58,D58.9,Other haemoglobinopathies and haemolytic anaemias,4
D59.1,D59.1,Other haemoglobinopathies and haemolytic anaemias,4
D59.3,D59.3,Other haemoglobinopathies and haemolytic anaemias,4
D59.5,D59.5,Other haemoglobinopathies and haemolytic anaemias,4
D60,D61.9,Other haemoglobinopathies and haemolytic anaemias,4
D64.0,D64.0,Other haemoglobinopathies and haemolytic anaemias,4
D52.1,D52.1,"Endocrine, metabolic, blood, and immune disorders",3
D59.0,D59.0,"Endocrine, metabolic, blood, and immune disorders",3
D59.2,D59.2,"Endocrine, metabolic, blood, and immune disorders",3
D59.6,D59.6,"Endocrine, metabolic, blood, and immune disorders",3
D66,D67,"Endocrine, metabolic, blood, and immune disorders",3
D68.0,D69.8,"Endocrine, metabolic, blood, and immune disorders",3
D70,D70.2,"Endocrine, metabolic, blood, and immune disorders",3
D70.4,D75.8,"Endocrine, metabolic, blood, and immune disorders",3
D76,D78.8,"Endocrine, metabolic, blood, and immune disorders",3
D86.8,D86.8,"Endocrine, metabolic, blood, and immune disorders",3
D89,D89.2,"Endocrine, metabolic, blood, and immune disorders",3
E03,E07.1,"Endocrine, metabolic, blood, and immune disorders",3
E09,E09.9,"Endocrine, metabolic, blood, and immune disorders",3
E15.0,E15.0,"Endocrine, metabolic, blood, and immune disorders",3
E16.0,E16.9,"Endocrine, metabolic, blood, and immune disorders",3
E20,E24.3,"Endocrine, metabolic, blood, and immune disorders",3
E24.8,E28.1,"Endocrine, metabolic, blood, and immune disorders",3
E28.3,E34,"Endocrine, metabolic, blood, and immune disorders",3
E34.1,E34.8,"Endocrine, metabolic, blood, and immune disorders",3
E36,E36.8,"Endocrine, metabolic, blood, and immune disorders",3
E65,E68,"Endocrine, metabolic, blood, and immune disorders",3
E70,E85.2,"Endocrine, metabolic, blood, and immune disorders",3
E88,E89.9,"Endocrine, metabolic, blood, and immune disorders",3
G21.0,G21.1,"Endocrine, metabolic, blood, and immune disorders",3
G24.0,G24.0,"Endocrine, metabolic, blood, and immune disorders",3
G25.1,G25.1,"Endocrine, metabolic, blood, and immune disorders",3
G25.4,G25.4,"Endocrine, metabolic, blood, and immune disorders",3
G25.6,G25.7,"Endocrine, metabolic, blood, and immune disorders",3
G72.0,G72.0,"Endocrine, metabolic, blood, and immune disorders",3
G93.7,G93.7,"Endocrine, metabolic, blood, and immune disorders",3
G97,G97.9,"Endocrine, metabolic, blood, and immune disorders",3
I95.2,I95.3,"Endocrine, metabolic, blood, and immune disorders",3
I97,I97.9,"Endocrine, metabolic, blood, and immune disorders",3
I98.9,I98.9,"Endocrine, metabolic, blood, and immune disorders",3
J70.0,J70.5,"Endocrine, metabolic, blood, and immune disorders",3
J95,J95.9,"Endocrine, metabolic, blood, and immune disorders",3
K43,K43.9,"Endocrine, metabolic, blood, and immune disorders",3
K52.0,K52.0,"Endocrine, metabolic, blood, and immune disorders",3
K62.7,K62.7,"Endocrine, metabolic, blood, and immune disorders",3
K91,K91.9,"Endocrine, metabolic, blood, and immune disorders",3
K94,K95.8,"Endocrine, metabolic, blood, and immune disorders",3
M87.1,M87.1,"Endocrine, metabolic, blood, and immune disorders",3
N14,N14.4,"Endocrine, metabolic, blood, and immune disorders",3
N65,N65.1,"Endocrine, metabolic, blood, and immune disorders",3
N99,N99.9,"Endocrine, metabolic, blood, and immune disorders",3
P96.2,P96.2,"Endocrine, metabolic, blood, and immune disorders",3
P96.5,P96.5,"Endocrine, metabolic, blood, and immune disorders",3
R50.2,R50.2,"Endocrine, metabolic, blood, and immune disorders",3
R95,R95.9,Sudden infant death syndrome,3
L55,L55.9,Injuries,1
L56.3,L56.3,Injuries,1
L56.8,L56.9,Injuries,1
L58,L58.9,Injuries,1
N30.4,N30.4,Injuries,1
U00,U03,Injuries,1
V00,V86.9,Injuries,1
V87.2,V87.3,Injuries,1
V88.2,V88.3,Injuries,1
V90,V98.8,Injuries,1
W00,W46.2,Injuries,1
W49,W62.9,Injuries,1
W64,W70.9,Injuries,1
W73,W75.9,Injuries,1
W77,W81.9,Injuries,1
W83,W94.9,Injuries,1
W97.9,W97.9,Injuries,1
W99,X06.9,Injuries,1
X08,X39.9,Injuries,1
X47,X48.9,Injuries,1
X50,X54.9,Injuries,1
X57,X58.9,Injuries,1
X60,X64.9,Injuries,1
X66,X83.9,Injuries,1
X85,Y08.9,Injuries,1
Y35,Y84.9,Injuries,1
Y87.0,Y87.1,Injuries,1
Y88,Y88.3,Injuries,1
Y89.0,Y89.1,Injuries,1
V00,V86.9,Transport injuries,2
V87.2,V87.3,Transport injuries,2
V88.2,V88.3,Transport injuries,2
V90,V98.8,Transport injuries,2
V01,V04.9,Road injuries,3
V06,V80.9,Road injuries,3
V82,V82.9,Road injuries,3
V87.2,V87.3,Road injuries,3
V01,V04.9,Pedestrian road injuries,4
V06,V09.9,Pedestrian road injuries,4
V10,V19.9,Cyclist road injuries,4
V20,V29.9,Motorcyclist road injuries,4
V30,V79.9,Motor vehicle road injuries,4
V87.2,V87.3,Motor vehicle road injuries,4
V80,V80.9,Other road injuries,4
V82,V82.9,Other road injuries,4
V00,V00.8,Other transport injuries,3
V05,V05.9,Other transport injuries,3
V81,V81.9,Other transport injuries,3
V83,V86.9,Other transport injuries,3
V88.2,V88.3,Other transport injuries,3
V90,V98.8,Other transport injuries,3
L55,L55.9,Unintentional injuries,2
L56.3,L56.3,Unintentional injuries,2
L56.8,L56.9,Unintentional injuries,2
L58,L58.9,Unintentional injuries,2
N30.4,N30.4,Unintentional injuries,2
W00,W46.2,Unintentional injuries,2
W49,W62.9,Unintentional injuries,2
W64,W70.9,Unintentional injuries,2
W73,W75.9,Unintentional injuries,2
W77,W81.9,Unintentional injuries,2
W83,W94.9,Unintentional injuries,2
W97.9,W97.9,Unintentional injuries,2
W99,X06.9,Unintentional injuries,2
X08,X39.9,Unintentional injuries,2
X47,X48.9,Unintentional injuries,2
X50,X54.9,Unintentional injuries,2
X57,X58.9,Unintentional injuries,2
Y40,Y84.9,Unintentional injuries,2
Y88,Y88.3,Unintentional injuries,2
W00,W19.9,Falls,3
W65,W70.9,Drowning,3
W73,W74.9,Drowning,3
X00,X06.9,"Fire, heat, and hot substances",3
X08,X19.9,"Fire, heat, and hot substances",3
X47,X48.9,Poisonings,3
X47,X47.9,Poisoning by carbon monoxide,4
X48,X48.9,Poisoning by other means,4
W20,W38.9,Exposure to mechanical forces,3
W40,W43.9,Exposure to mechanical forces,3
W45.0,W45.2,Exposure to mechanical forces,3
W46,W46.2,Exposure to mechanical forces,3
W49,W52,Exposure to mechanical forces,3
W32,W34.9,Unintentional firearm injuries,4
W20,W31.9,Other exposure to mechanical forces,4
W35,W38.9,Other exposure to mechanical forces,4
W40,W43.9,Other exposure to mechanical forces,4
W45.0,W45.2,Other exposure to mechanical forces,4
W46,W46.2,Other exposure to mechanical forces,4
W49,W52,Other exposure to mechanical forces,4
N30.4,N30.4,Adverse effects of medical treatment,3
Y40,Y84.9,Adverse effects of medical treatment,3
Y88,Y88.3,Adverse effects of medical treatment,3
W52.0,W62.9,Animal contact,3
W64,W64.9,Animal contact,3
X20,X29.9,Animal contact,3
X20,X29.9,Venomous animal contact,4
W52.0,W62.9,Non-venomous animal contact,4
W64,W64.9,Non-venomous animal contact,4
W44,W45,Foreign body,3
W45.3,W45.9,Foreign body,3
W75,W75.9,Foreign body,3
W78,W80.9,Foreign body,3
W83,W84.9,Foreign body,3
W75,W75.9,Pulmonary aspiration and foreign body in airway,4
W78,W80.9,Pulmonary aspiration and foreign body in airway,4
W83,W84.9,Pulmonary aspiration and foreign body in airway,4
W44,W45,Foreign body in other body part,4
W45.3,W45.9,Foreign body in other body part,4
L55,L55.9,Environmental heat and cold exposure,3
L56.3,L56.3,Environmental heat and cold exposure,3
L56.8,L56.9,Environmental heat and cold exposure,3
L58,L58.9,Environmental heat and cold exposure,3
W88,W94.9,Environmental heat and cold exposure,3
W97.9,W97.9,Environmental heat and cold exposure,3
W99,W99.9,Environmental heat and cold exposure,3
X30,X32.9,Environmental heat and cold exposure,3
X39,X39.9,Environmental heat and cold exposure,3
X33,X38.9,Exposure to forces of nature,3
P95,P95.9,Still Born,
W39,W39.9,Other unintentional injuries,3
W77,W77.9,Other unintentional injuries,3
W81,W81.9,Other unintentional injuries,3
W85,W87.9,Other unintentional injuries,3
X50,X54.9,Other unintentional injuries,3
X57,X58.9,Other unintentional injuries,3
U00,U03,Self-harm and interpersonal violence,2
X60,X64.9,Self-harm and interpersonal violence,2
X66,X83.9,Self-harm and interpersonal violence,2
X85,Y08.9,Self-harm and interpersonal violence,2
Y35,Y38.9,Self-harm and interpersonal violence,2
Y87.0,Y87.1,Self-harm and interpersonal violence,2
Y89.0,Y89.1,Self-harm and interpersonal violence,2
X60,X64.9,Self-harm,3
X66,X83.9,Self-harm,3
Y87.0,Y87.0,Self-harm,3
X72,X74.9,Self-harm by firearm,4
X60,X64.9,Self-harm by other specified means,4
X66,X71.9,Self-harm by other specified means,4
X75,X83.9,Self-harm by other specified means,4
Y87.0,Y87.0,Self-harm by other specified means,4
X85,Y08.9,Interpersonal violence,3
Y87.1,Y87.1,Interpersonal violence,3
X93,X95.9,Physical violence by firearm,4
X99,X99.9,Physical violence by sharp object,4
X85,X92.9,Physical violence by other means,4
X96,X98.9,Physical violence by other means,4
Y00,Y04.9,Physical violence by other means,4
Y06,Y08.9,Physical violence by other means,4
Y87.1,Y87.1,Physical violence by other means,4
U00,U03,Conflict and terrorism,3
Y36,Y38.9,Conflict and terrorism,3
Y89.1,Y89.1,Conflict and terrorism,3
Y35,Y35.9,Police conflict and executions,3
Y89.0,Y89.0,Police conflict and executions,3
A40,A41.9,Garbage Code (GBD Level 1),
A48.0,A48.0,Garbage Code (GBD Level 1),
A48.3,A48.3,Garbage Code (GBD Level 1),
A49.0,A49.1,Garbage Code (GBD Level 1),
A59,A59.9,Garbage Code (GBD Level 1),
A71,A71.9,Garbage Code (GBD Level 1),
A74.0,A74.0,Garbage Code (GBD Level 1),
